Absolute Time,x_in,y_in,x_hat,y_hat
3573172445.330036,10.100479,1.949429,10.106132,1.941208
3573172445.340036,10.099327,1.949913,10.105052,1.941686
3573172445.350037,10.098175,1.950398,10.103972,1.942163
3573172445.360037,10.097023,1.950882,10.102891,1.942641
3573172445.370037,10.095869,1.951367,10.101810,1.943119
3573172445.380036,10.094715,1.951852,10.100727,1.943598
3573172445.390033,10.093561,1.952336,10.099644,1.944076
3573172445.400038,10.092406,1.952821,10.098561,1.944555
3573172445.410038,10.091250,1.953306,10.097476,1.945033
3573172445.420038,10.090093,1.953792,10.096391,1.945512
3573172445.430039,10.088936,1.954277,10.095305,1.945991
3573172445.440041,10.087778,1.954762,10.094218,1.946470
3573172445.450039,10.086619,1.955248,10.093131,1.946949
3573172445.460040,10.085460,1.955733,10.092042,1.947429
3573172445.470038,10.084300,1.956219,10.090953,1.947908
3573172445.480040,10.083140,1.956705,10.089864,1.948388
3573172445.490036,10.081979,1.957191,10.088773,1.948868
3573172445.500040,10.080817,1.957677,10.087682,1.949348
3573172445.510041,10.079655,1.958163,10.086590,1.949828
3573172445.520041,10.078492,1.958649,10.085498,1.950308
3573172445.530041,10.077328,1.959136,10.084404,1.950788
3573172445.540041,10.076164,1.959622,10.083310,1.951269
3573172445.550041,10.074999,1.960109,10.082216,1.951750
3573172445.560042,10.073833,1.960595,10.081120,1.952230
3573172445.570039,10.072667,1.961082,10.080024,1.952711
3573172445.580041,10.071500,1.961569,10.078927,1.953192
3573172445.590038,10.070333,1.962056,10.077829,1.953674
3573172445.600043,10.069165,1.962543,10.076731,1.954155
3573172445.610043,10.067996,1.963030,10.075632,1.954637
3573172445.620043,10.066827,1.963518,10.074532,1.955118
3573172445.630044,10.065657,1.964005,10.073432,1.955600
3573172445.640044,10.064486,1.964493,10.072330,1.956082
3573172445.650044,10.063315,1.964980,10.071229,1.956564
3573172445.660045,10.062143,1.965468,10.070126,1.957046
3573172445.670044,10.060971,1.965956,10.069023,1.957529
3573172445.680045,10.059798,1.966444,10.067919,1.958011
3573172445.690042,10.058624,1.966932,10.066814,1.958494
3573172445.700046,10.057450,1.967420,10.065709,1.958977
3573172445.710046,10.056275,1.967908,10.064602,1.959460
3573172445.720046,10.055100,1.968397,10.063496,1.959943
3573172445.730048,10.053924,1.968885,10.062388,1.960426
3573172445.740047,10.052747,1.969374,10.061280,1.960909
3573172445.750048,10.051570,1.969862,10.060171,1.961393
3573172445.760048,10.050392,1.970351,10.059061,1.961876
3573172445.770050,10.049213,1.970840,10.057951,1.962360
3573172445.780047,10.048034,1.971329,10.056840,1.962844
3573172445.790044,10.046854,1.971818,10.055728,1.963328
3573172445.800047,10.045674,1.972307,10.054616,1.963812
3573172445.810049,10.044493,1.972796,10.053503,1.964296
3573172445.820049,10.043312,1.973286,10.052389,1.964781
3573172445.830050,10.042129,1.973775,10.051275,1.965265
3573172445.840049,10.040947,1.974265,10.050160,1.965750
3573172445.850050,10.039764,1.974754,10.049044,1.966235
3573172445.860051,10.038580,1.975244,10.047927,1.966720
3573172445.870050,10.037395,1.975734,10.046810,1.967205
3573172445.880050,10.036210,1.976224,10.045692,1.967690
3573172445.890047,10.035024,1.976714,10.044574,1.968175
3573172445.900052,10.033838,1.977204,10.043455,1.968661
3573172445.910051,10.032651,1.977695,10.042335,1.969146
3573172445.920051,10.031464,1.978185,10.041214,1.969632
3573172445.930052,10.030276,1.978675,10.040093,1.970118
3573172445.940052,10.029088,1.979166,10.038971,1.970604
3573172445.950052,10.027898,1.979657,10.037849,1.971090
3573172445.960053,10.026709,1.980147,10.036725,1.971576
3573172445.970054,10.025518,1.980638,10.035602,1.972063
3573172445.980052,10.024328,1.981129,10.034477,1.972549
3573172445.990049,10.023136,1.981620,10.033352,1.973036
3573172446.000053,10.021944,1.982111,10.032226,1.973522
3573172446.010054,10.020752,1.982602,10.031099,1.974009
3573172446.020054,10.019559,1.983094,10.029972,1.974496
3573172446.030055,10.018365,1.983585,10.028844,1.974983
3573172446.040055,10.017171,1.984077,10.027716,1.975471
3573172446.050056,10.015976,1.984568,10.026587,1.975958
3573172446.060055,10.014780,1.985060,10.025457,1.976446
3573172446.070055,10.013584,1.985552,10.024326,1.976933
3573172446.080056,10.012388,1.986044,10.023195,1.977421
3573172446.090052,10.011191,1.986535,10.022063,1.977909
3573172446.100055,10.009993,1.987028,10.020931,1.978397
3573172446.110057,10.008795,1.987520,10.019798,1.978885
3573172446.120056,10.007596,1.988012,10.018664,1.979373
3573172446.130056,10.006397,1.988504,10.017530,1.979862
3573172446.140058,10.005197,1.988997,10.016395,1.980350
3573172446.150058,10.003997,1.989489,10.015259,1.980839
3573172446.160058,10.002796,1.989982,10.014123,1.981327
3573172446.170060,10.001595,1.990474,10.012986,1.981816
3573172446.180058,10.000393,1.990967,10.011848,1.982305
3573172446.190054,9.999190,1.991460,10.010710,1.982794
3573172446.200061,9.997987,1.991953,10.009571,1.983284
3573172446.210061,9.996783,1.992446,10.008432,1.983773
3573172446.220059,9.995579,1.992939,10.007292,1.984262
3573172446.230062,9.994374,1.993432,10.006151,1.984752
3573172446.240062,9.993169,1.993926,10.005010,1.985242
3573172446.250062,9.991963,1.994419,10.003867,1.985732
3573172446.260062,9.990757,1.994913,10.002725,1.986222
3573172446.270063,9.989550,1.995406,10.001582,1.986712
3573172446.280062,9.988343,1.995900,10.000438,1.987202
3573172446.290057,9.987135,1.996393,9.999293,1.987692
3573172446.300063,9.985926,1.996887,9.998148,1.988182
3573172446.310062,9.984717,1.997381,9.997002,1.988673
3573172446.320061,9.983508,1.997875,9.995856,1.989164
3573172446.330064,9.982298,1.998369,9.994709,1.989654
3573172446.340062,9.981087,1.998863,9.993561,1.990145
3573172446.350063,9.979876,1.999358,9.992413,1.990636
3573172446.360063,9.978665,1.999852,9.991264,1.991127
3573172446.370064,9.977453,2.000346,9.990114,1.991619
3573172446.380063,9.976240,2.000841,9.988964,1.992110
3573172446.390061,9.975027,2.001336,9.987814,1.992601
3573172446.400066,9.973813,2.001830,9.986662,1.993093
3573172446.410066,9.972599,2.002325,9.985510,1.993585
3573172446.420066,9.971384,2.002820,9.984358,1.994077
3573172446.430067,9.970169,2.003315,9.983205,1.994568
3573172446.440066,9.968954,2.003810,9.982051,1.995060
3573172446.450068,9.967737,2.004305,9.980897,1.995553
3573172446.460066,9.966521,2.004800,9.979742,1.996045
3573172446.470069,9.965303,2.005295,9.978586,1.996537
3573172446.480066,9.964086,2.005790,9.977430,1.997030
3573172446.490068,9.962867,2.006286,9.976273,1.997522
3573172446.500068,9.961649,2.006781,9.975116,1.998015
3573172446.510068,9.960430,2.007277,9.973958,1.998508
3573172446.520069,9.959210,2.007773,9.972799,1.999001
3573172446.530069,9.957990,2.008268,9.971640,1.999494
3573172446.540069,9.956769,2.008764,9.970480,1.999987
3573172446.550070,9.955548,2.009260,9.969320,2.000480
3573172446.560070,9.954326,2.009756,9.968159,2.000973
3573172446.570068,9.953104,2.010252,9.966998,2.001467
3573172446.580070,9.951881,2.010748,9.965835,2.001961
3573172446.590065,9.950658,2.011244,9.964673,2.002454
3573172446.600070,9.949434,2.011741,9.963509,2.002948
3573172446.610075,9.948210,2.012237,9.962346,2.003442
3573172446.620074,9.946986,2.012733,9.961181,2.003936
3573172446.630074,9.945761,2.013230,9.960016,2.004430
3573172446.640072,9.944535,2.013726,9.958851,2.004924
3573172446.650074,9.943309,2.014223,9.957684,2.005419
3573172446.660073,9.942083,2.014720,9.956518,2.005913
3573172446.670075,9.940856,2.015217,9.955350,2.006407
3573172446.680075,9.939628,2.015714,9.954182,2.006902
3573172446.690071,9.938400,2.016210,9.953014,2.007397
3573172446.700074,9.937172,2.016708,9.951845,2.007892
3573172446.710073,9.935943,2.017205,9.950675,2.008387
3573172446.720076,9.934713,2.017702,9.949505,2.008882
3573172446.730074,9.933484,2.018199,9.948334,2.009377
3573172446.740075,9.932253,2.018696,9.947163,2.009872
3573172446.750075,9.931023,2.019194,9.945991,2.010367
3573172446.760076,9.929791,2.019691,9.944819,2.010863
3573172446.770076,9.928560,2.020189,9.943646,2.011359
3573172446.780074,9.927328,2.020686,9.942472,2.011854
3573172446.790071,9.926095,2.021184,9.941298,2.012350
3573172446.800076,9.924862,2.021682,9.940123,2.012846
3573172446.810076,9.923628,2.022180,9.938948,2.013342
3573172446.820076,9.922394,2.022678,9.937772,2.013838
3573172446.830077,9.921160,2.023176,9.936596,2.014334
3573172446.840076,9.919925,2.023674,9.935419,2.014830
3573172446.850077,9.918690,2.024172,9.934241,2.015327
3573172446.860079,9.917454,2.024670,9.933063,2.015823
3573172446.870078,9.916218,2.025168,9.931885,2.016320
3573172446.880076,9.914981,2.025667,9.930705,2.016816
3573172446.890073,9.913744,2.026165,9.929526,2.017313
3573172446.900078,9.912506,2.026664,9.928346,2.017810
3573172446.910077,9.911268,2.027162,9.927165,2.018307
3573172446.920079,9.910030,2.027661,9.925983,2.018804
3573172446.930079,9.908791,2.028159,9.924802,2.019301
3573172446.940078,9.907552,2.028658,9.923619,2.019798
3573172446.950079,9.906312,2.029157,9.922436,2.020296
3573172446.960079,9.905072,2.029656,9.921253,2.020793
3573172446.970079,9.903831,2.030155,9.920069,2.021291
3573172446.980079,9.902590,2.030654,9.918884,2.021788
3573172446.990075,9.901348,2.031153,9.917699,2.022286
3573172447.000080,9.900106,2.031652,9.916514,2.022784
3573172447.010081,9.898864,2.032151,9.915327,2.023282
3573172447.020082,9.897621,2.032651,9.914141,2.023780
3573172447.030081,9.896378,2.033150,9.912954,2.024278
3573172447.040081,9.895134,2.033649,9.911766,2.024776
3573172447.050081,9.893890,2.034149,9.910578,2.025274
3573172447.060080,9.892646,2.034648,9.909389,2.025773
3573172447.070082,9.891401,2.035148,9.908199,2.026271
3573172447.080081,9.890156,2.035648,9.907010,2.026770
3573172447.090079,9.888910,2.036147,9.905819,2.027269
3573172447.100083,9.887664,2.036647,9.904628,2.027767
3573172447.110084,9.886417,2.037147,9.903437,2.028266
3573172447.120084,9.885170,2.037647,9.902245,2.028765
