PosXRight,PosYRight,Absolute Time
1.000000,1.000000,3568884935.066965
1.000000,1.000000,3568884935.076966
1.000000,1.000000,3568884935.086964
1.000000,1.000000,3568884935.096966
1.000000,1.000000,3568884935.106966
1.000000,1.000000,3568884935.116967
1.000000,1.000000,3568884935.126967
1.000000,1.000000,3568884935.136968
0.979400,1.000000,3568884935.146968
0.938169,1.000000,3568884935.156968
0.896908,1.000000,3568884935.166968
0.865993,1.000000,3568884935.176970
0.865993,1.000000,3568884935.186967
0.845363,1.000000,3568884935.196970
0.824763,1.000000,3568884935.206970
0.793817,1.000000,3568884935.216970
0.773217,1.000000,3568884935.226970
0.773217,1.000000,3568884935.236971
0.773217,1.000000,3568884935.246971
0.773217,1.000000,3568884935.256971
0.731956,1.000000,3568884935.266971
0.731956,1.000000,3568884935.276972
0.711356,1.000000,3568884935.286972
0.618549,1.000000,3568884935.296973
0.577319,1.000000,3568884935.306973
0.567003,1.000000,3568884935.316973
0.567003,1.000000,3568884935.326973
0.567003,1.000000,3568884935.336974
0.567003,1.000000,3568884935.346974
0.567003,1.000000,3568884935.356975
0.567003,1.000000,3568884935.366975
0.567003,1.000000,3568884935.376975
0.567003,1.000000,3568884935.386974
0.567003,1.000000,3568884935.396976
0.567003,1.000000,3568884935.406975
0.432997,1.000000,3568884935.416977
0.402051,1.000000,3568884935.426977
0.391736,1.000000,3568884935.436978
0.381451,1.000000,3568884935.446978
0.381451,1.000000,3568884935.456979
0.381451,1.000000,3568884935.466978
0.381451,1.000000,3568884935.476978
0.381451,1.000000,3568884935.486977
0.381451,1.000000,3568884935.496980
0.381451,1.000000,3568884935.506979
0.381451,1.000000,3568884935.516981
0.381451,1.000000,3568884935.526979
0.381451,1.000000,3568884935.536980
0.340190,1.000000,3568884935.546980
0.340190,1.000000,3568884935.556981
0.237098,1.000000,3568884935.566982
0.237098,1.000000,3568884935.576982
0.206183,1.000000,3568884935.586981
0.154637,1.000000,3568884935.596982
0.092776,1.000000,3568884935.606982
0.030915,1.000000,3568884935.616982
0.030915,1.000000,3568884935.626983
0.000000,1.000000,3568884935.636983
0.000000,1.000000,3568884935.646984
0.000000,1.000000,3568884935.656984
0.000000,1.000000,3568884935.666984
0.000000,1.000000,3568884935.676985
0.000000,1.000000,3568884935.686984
0.000000,1.000000,3568884935.696985
0.000000,1.000000,3568884935.706986
0.000000,1.000000,3568884935.716986
0.000000,1.000000,3568884935.726985
-0.020631,1.000000,3568884935.736987
-0.020631,1.000000,3568884935.746987
-0.072176,1.000000,3568884935.756987
-0.092807,1.000000,3568884935.766986
-0.164983,1.000000,3568884935.776988
-0.185583,1.000000,3568884935.786986
-0.185583,1.000000,3568884935.796988
-0.185583,1.000000,3568884935.806988
-0.185583,1.000000,3568884935.816989
-0.185583,1.000000,3568884935.826990
-0.185583,1.000000,3568884935.836990
-0.185583,1.000000,3568884935.846990
-0.185583,1.000000,3568884935.856990
-0.185583,1.000000,3568884935.866991
-0.195898,1.000000,3568884935.876990
-0.247444,1.000000,3568884935.886990
-0.247444,1.000000,3568884935.896991
-0.247444,1.000000,3568884935.906991
-0.247444,1.000000,3568884935.916993
-0.247444,1.000000,3568884935.926992
-0.268075,1.000000,3568884935.936993
-0.298990,1.000000,3568884935.946992
-0.309305,1.000000,3568884935.956994
-0.371166,1.000000,3568884935.966994
-0.371166,1.000000,3568884935.976995
-0.402081,1.000000,3568884935.986993
-0.463942,1.000000,3568884935.996995
-0.536119,1.000000,3568884936.006995
-0.536119,1.000000,3568884936.016995
-0.567034,1.000000,3568884936.026996
-0.618580,1.000000,3568884936.036996
-0.670125,1.000000,3568884936.046997
-0.701071,1.000000,3568884936.056996
-0.721702,1.000000,3568884936.066997
-0.742302,1.000000,3568884936.076997
-0.752617,1.000000,3568884936.086999
-0.762932,1.000000,3568884936.096997
-0.762932,1.000000,3568884936.106998
-0.793847,1.000000,3568884936.116998
-0.804163,1.000000,3568884936.127000
-0.824793,1.000000,3568884936.136999
-0.845393,1.000000,3568884936.146999
-0.866024,1.000000,3568884936.157000
-0.896939,1.000000,3568884936.167000
-0.896939,1.000000,3568884936.177001
-0.907254,1.000000,3568884936.187000
-0.907254,1.000000,3568884936.197001
-0.917570,1.000000,3568884936.207001
-0.917570,1.000000,3568884936.217002
-0.927885,1.000000,3568884936.227002
-0.927885,1.000000,3568884936.237002
-0.948485,1.000000,3568884936.247002
-0.948485,0.969085,3568884936.257003
-0.969115,0.969085,3568884936.267016
-0.969115,0.958769,3568884936.277018
-1.000000,0.958769,3568884936.287015
-1.000000,0.938169,3568884936.297017
-1.000000,0.896908,3568884936.307016
-1.000000,0.896908,3568884936.317018
-1.000000,0.865993,3568884936.327019
-1.000000,0.865993,3568884936.337018
-1.000000,0.835047,3568884936.347018
-1.000000,0.824763,3568884936.357018
-1.000000,0.814447,3568884936.367020
-1.000000,0.793817,3568884936.377019
-1.000000,0.783502,3568884936.387018
-1.000000,0.762902,3568884936.397020
-1.000000,0.752586,3568884936.407020
-1.000000,0.731956,3568884936.417020
-1.000000,0.701041,3568884936.427020
-1.000000,0.680410,3568884936.437020
-1.000000,0.670095,3568884936.447022
-1.000000,0.659810,3568884936.457022
-1.000000,0.628864,3568884936.467021
-1.000000,0.567003,3568884936.477021
-1.000000,0.546403,3568884936.487022
-1.000000,0.525773,3568884936.497023
-1.000000,0.515458,3568884936.507023
-1.000000,0.463912,3568884936.517024
-1.000000,0.422681,3568884936.527023
-1.000000,0.422681,3568884936.537023
-1.000000,0.402051,3568884936.547024
-1.000000,0.381451,3568884936.557023
-1.000000,0.381451,3568884936.567024
-1.000000,0.350505,3568884936.577024
-1.000000,0.288644,3568884936.587023
-1.000000,0.268044,3568884936.597025
-1.000000,0.257729,3568884936.607024
-1.000000,0.247414,3568884936.617027
-1.000000,0.226783,3568884936.627026
-1.000000,0.185553,3568884936.637027
-1.000000,0.164953,3568884936.647027
-1.000000,0.113376,3568884936.657026
-1.000000,0.103092,3568884936.667029
-1.000000,0.072146,3568884936.677027
-1.000000,0.061831,3568884936.687026
-1.000000,0.041231,3568884936.697029
-1.000000,0.010285,3568884936.707028
-1.000000,0.000000,3568884936.717029
-1.000000,0.000000,3568884936.727029
-1.000000,0.000000,3568884936.737029
-1.000000,0.000000,3568884936.747029
-1.000000,0.000000,3568884936.757030
-1.000000,0.000000,3568884936.767031
-1.000000,0.000000,3568884936.777030
-1.000000,0.000000,3568884936.787031
-1.000000,0.000000,3568884936.797030
-1.000000,0.000000,3568884936.807031
-1.000000,0.000000,3568884936.817033
-1.000000,0.000000,3568884936.827032
-1.000000,0.000000,3568884936.837032
-1.000000,0.000000,3568884936.847033
-1.000000,-0.030946,3568884936.857033
-1.000000,-0.041261,3568884936.867033
-1.000000,-0.041261,3568884936.877034
-1.000000,-0.051576,3568884936.887033
-1.000000,-0.051576,3568884936.897033
-1.000000,-0.082492,3568884936.907035
-1.000000,-0.123722,3568884936.917035
-1.000000,-0.154668,3568884936.927034
-1.000000,-0.175268,3568884936.937035
-1.000000,-0.195898,3568884936.947036
-1.000000,-0.216529,3568884936.957036
-1.000000,-0.226814,3568884936.967037
-1.000000,-0.247444,3568884936.977036
-1.000000,-0.257759,3568884936.987035
-1.000000,-0.268075,3568884936.997038
-1.000000,-0.278359,3568884937.007037
-1.000000,-0.288675,3568884937.017037
-1.000000,-0.288675,3568884937.027039
-1.000000,-0.298990,3568884937.037038
-1.000000,-0.309305,3568884937.047040
-1.000000,-0.319620,3568884937.057039
-1.000000,-0.340220,3568884937.067040
-1.000000,-0.360851,3568884937.077039
-1.000000,-0.371166,3568884937.087040
-1.000000,-0.381481,3568884937.097039
