Absolute Time,x_in,y_in
3573107340.081803,4.633138,-26.716995
3573107340.091802,4.633860,-26.717505
3573107340.101803,4.634581,-26.718015
3573107340.111803,4.635303,-26.718524
3573107340.121803,4.636025,-26.719033
3573107340.131803,4.636747,-26.719542
3573107340.141804,4.637469,-26.720051
3573107340.151804,4.638192,-26.720559
3573107340.161804,4.638914,-26.721068
3573107340.171804,4.639637,-26.721576
3573107340.181804,4.640360,-26.722084
3573107340.191805,4.641083,-26.722591
3573107340.201807,4.641806,-26.723099
3573107340.211806,4.642529,-26.723606
3573107340.221806,4.643253,-26.724113
3573107340.231806,4.643976,-26.724620
3573107340.241806,4.644700,-26.725126
3573107340.251807,4.645424,-26.725633
3573107340.261808,4.646148,-26.726139
3573107340.271808,4.646872,-26.726645
3573107340.281808,4.647596,-26.727150
3573107340.291807,4.648321,-26.727656
3573107340.301808,4.649045,-26.728161
3573107340.311809,4.649770,-26.728666
3573107340.321809,4.650495,-26.729171
3573107340.331810,4.651220,-26.729675
3573107340.341809,4.651945,-26.730179
3573107340.351809,4.652671,-26.730683
3573107340.361809,4.653396,-26.731187
3573107340.371809,4.654122,-26.731691
3573107340.381811,4.654848,-26.732194
3573107340.391810,4.655573,-26.732698
3573107340.401811,4.656300,-26.733201
3573107340.411811,4.657026,-26.733703
3573107340.421811,4.657752,-26.734206
3573107340.431811,4.658479,-26.734708
3573107340.441813,4.659205,-26.735210
3573107340.451812,4.659932,-26.735712
3573107340.461812,4.660659,-26.736214
3573107340.471813,4.661387,-26.736715
3573107340.481813,4.662114,-26.737216
3573107340.491814,4.662841,-26.737717
3573107340.501815,4.663569,-26.738218
