Absolute Time,u_hat,u_true,y_hat,y_m,y-error
3571895536.991209,0.002807,-0.000359,-19.713506,-19.630801,0.082706
3571895537.001210,0.002943,-0.000359,-19.712649,-19.630801,0.081849
3571895537.011210,0.003079,-0.000359,-19.711801,-19.630801,0.081000
3571895537.021211,0.003212,-0.000359,-19.710960,-19.630801,0.080159
3571895537.031211,0.003345,-0.000358,-19.710127,-19.721783,-0.011656
3571895537.041214,0.003475,-0.000358,-19.709301,-19.721783,-0.012482
3571895537.051211,0.003486,-0.000358,-19.709387,-19.721783,-0.012396
3571895537.061212,0.003495,-0.000358,-19.709479,-19.721783,-0.012304
3571895537.071212,0.003504,-0.000358,-19.709571,-19.721783,-0.012212
3571895537.081211,0.003513,-0.000358,-19.709663,-19.721783,-0.012120
3571895537.091212,0.003522,-0.000358,-19.709753,-19.721783,-0.012030
3571895537.101212,0.003531,-0.000358,-19.709842,-19.721783,-0.011941
3571895537.111213,0.003540,-0.000357,-19.709931,-19.721783,-0.011852
3571895537.121213,0.003548,-0.000357,-19.710019,-19.721783,-0.011764
3571895537.131214,0.003557,-0.000357,-19.710106,-19.606936,0.103171
3571895537.141214,0.003565,-0.000357,-19.710193,-19.606936,0.103257
3571895537.151214,0.003610,-0.000357,-19.709131,-19.606936,0.102196
3571895537.161215,0.003655,-0.000357,-19.708069,-19.606936,0.101133
3571895537.171214,0.003700,-0.000357,-19.707017,-19.606936,0.100081
3571895537.181214,0.003744,-0.000356,-19.705975,-19.606936,0.099040
3571895537.191215,0.003787,-0.000356,-19.704944,-19.606936,0.098008
3571895537.201216,0.003831,-0.000356,-19.703922,-19.606936,0.096986
3571895537.211216,0.003873,-0.000356,-19.702910,-19.606936,0.095975
3571895537.221213,0.003915,-0.000356,-19.701908,-19.606936,0.094973
3571895537.231216,0.003957,-0.000356,-19.700916,-19.325502,0.375414
3571895537.241217,0.003998,-0.000356,-19.699934,-19.325502,0.374432
3571895537.251216,0.004213,-0.000355,-19.696144,-19.325502,0.370642
3571895537.261217,0.004428,-0.000355,-19.692364,-19.325502,0.366862
3571895537.271218,0.004641,-0.000355,-19.688620,-19.325502,0.363117
3571895537.281218,0.004852,-0.000355,-19.684911,-19.325502,0.359409
3571895537.291217,0.005060,-0.000355,-19.681238,-19.325502,0.355736
3571895537.301218,0.005266,-0.000355,-19.677600,-19.325502,0.352098
3571895537.311218,0.005470,-0.000355,-19.673997,-19.325502,0.348494
3571895537.321218,0.005672,-0.000354,-19.670428,-19.325502,0.344926
3571895537.331219,0.005871,-0.000354,-19.666893,-20.059570,-0.392677
3571895537.341218,0.006069,-0.000354,-19.663392,-20.059570,-0.396177
3571895537.351220,0.005779,-0.000354,-19.667297,-20.059570,-0.392273
3571895537.361219,0.005488,-0.000354,-19.671235,-20.059570,-0.388335
3571895537.371220,0.005200,-0.000354,-19.675137,-20.059570,-0.384433
3571895537.381220,0.004916,-0.000354,-19.679002,-20.059570,-0.380568
3571895537.391220,0.004634,-0.000353,-19.682830,-20.059570,-0.376740
3571895537.401220,0.004355,-0.000353,-19.686621,-20.059570,-0.372948
3571895537.411221,0.004078,-0.000353,-19.690377,-20.059570,-0.369193
3571895537.421221,0.003805,-0.000353,-19.694097,-20.059570,-0.365473
3571895537.431221,0.003535,-0.000353,-19.697782,-19.818926,-0.121145
3571895537.441222,0.003267,-0.000353,-19.701431,-19.818926,-0.117495
3571895537.451222,0.003187,-0.000353,-19.702623,-19.818926,-0.116304
3571895537.461222,0.003111,-0.000353,-19.703780,-19.818926,-0.115146
3571895537.471222,0.003035,-0.000352,-19.704927,-19.818926,-0.113999
3571895537.481223,0.002959,-0.000352,-19.706063,-19.818926,-0.112864
3571895537.491223,0.002885,-0.000352,-19.707188,-19.818926,-0.111738
3571895537.501224,0.002811,-0.000352,-19.708302,-19.818926,-0.110624
3571895537.511224,0.002738,-0.000352,-19.709406,-19.818926,-0.109520
3571895537.521224,0.002666,-0.000352,-19.710500,-19.818926,-0.108426
3571895537.531224,0.002595,-0.000352,-19.711583,-19.487491,0.224093
3571895537.541224,0.002524,-0.000351,-19.712656,-19.487491,0.225166
3571895537.551224,0.002698,-0.000351,-19.710398,-19.487491,0.222908
3571895537.561224,0.002872,-0.000351,-19.708130,-19.487491,0.220640
3571895537.571226,0.003044,-0.000351,-19.705884,-19.487491,0.218393
3571895537.581225,0.003215,-0.000351,-19.703658,-19.487491,0.216168
3571895537.591225,0.003384,-0.000351,-19.701454,-19.487491,0.213963
3571895537.601226,0.003551,-0.000351,-19.699271,-19.487491,0.211780
3571895537.611227,0.003716,-0.000350,-19.697108,-19.487491,0.209617
3571895537.621227,0.003879,-0.000350,-19.694966,-19.487491,0.207475
3571895537.631227,0.004041,-0.000350,-19.692844,-19.919644,-0.226799
3571895537.641227,0.004201,-0.000350,-19.690743,-19.919644,-0.228901
3571895537.651227,0.004014,-0.000350,-19.692992,-19.919644,-0.226652
3571895537.661228,0.003825,-0.000350,-19.695261,-19.919644,-0.224383
3571895537.671228,0.003638,-0.000350,-19.697509,-19.919644,-0.222135
3571895537.681229,0.003452,-0.000350,-19.699736,-19.919644,-0.219908
3571895537.691228,0.003269,-0.000349,-19.701942,-19.919644,-0.217702
3571895537.701229,0.003088,-0.000349,-19.704128,-19.919644,-0.215516
3571895537.711228,0.002908,-0.000349,-19.706293,-19.919644,-0.213351
3571895537.721229,0.002730,-0.000349,-19.708437,-19.919644,-0.211207
3571895537.731229,0.002554,-0.000349,-19.710562,-19.555373,0.155189
3571895537.741230,0.002380,-0.000349,-19.712666,-19.555373,0.157294
3571895537.751230,0.002321,-0.000349,-19.711133,-19.555373,0.155760
3571895537.761230,0.002263,-0.000348,-19.709579,-19.555373,0.154206
3571895537.771231,0.002206,-0.000348,-19.708039,-19.555373,0.152666
3571895537.781231,0.002150,-0.000348,-19.706515,-19.555373,0.151142
3571895537.791231,0.002094,-0.000348,-19.705005,-19.555373,0.149632
3571895537.801231,0.002039,-0.000348,-19.703509,-19.555373,0.148137
3571895537.811231,0.001984,-0.000348,-19.702028,-19.555373,0.146656
3571895537.821232,0.001930,-0.000348,-19.700561,-19.555373,0.145189
3571895537.831231,0.001876,-0.000347,-19.699108,-19.410864,0.288245
3571895537.841232,0.001823,-0.000347,-19.697669,-19.410864,0.286806
3571895537.851232,0.002050,-0.000347,-19.694778,-19.410864,0.283915
