Absolute Time,u_hat,u_true,psi_error,psi_hat,psi_m
3571895057.738496,-0.010473,-0.007374,0.000003,0.124770,0.124773
3571895057.748495,-0.010466,-0.007371,0.000003,0.124770,0.124773
3571895057.758496,-0.010460,-0.007368,0.000003,0.124770,0.124773
3571895057.768497,-0.010454,-0.007365,0.000003,0.124770,0.124773
3571895057.778496,-0.010448,-0.007362,0.000003,0.124770,0.124773
3571895057.788497,-0.010442,-0.007359,0.000003,0.124770,0.124773
3571895057.798497,-0.010436,-0.007356,0.000003,0.124770,0.124773
3571895057.808498,-0.010429,-0.007353,0.000003,0.124770,0.124773
3571895057.818497,-0.010423,-0.007351,0.000003,0.124770,0.124773
3571895057.828498,-0.010417,-0.007348,0.000003,0.124770,0.124773
3571895057.838498,-0.010411,-0.007345,0.000003,0.124770,0.124773
3571895057.848497,-0.010405,-0.007342,0.000003,0.124770,0.124773
3571895057.858499,-0.010399,-0.007339,0.000003,0.124770,0.124773
3571895057.868499,-0.010393,-0.007336,0.000003,0.124771,0.124773
3571895057.878498,-0.010386,-0.007333,0.000003,0.124771,0.124773
3571895057.888500,-0.010380,-0.007330,0.000003,0.124771,0.124774
3571895057.898499,-0.010374,-0.007327,0.000003,0.124771,0.124774
3571895057.908501,-0.010368,-0.007325,0.000003,0.124771,0.124774
3571895057.918500,-0.010362,-0.007322,0.000003,0.124771,0.124774
3571895057.928501,-0.010356,-0.007319,0.000003,0.124771,0.124774
3571895057.938500,-0.010350,-0.007316,0.000003,0.124771,0.124774
3571895057.948502,-0.010344,-0.007313,0.000003,0.124771,0.124774
3571895057.958500,-0.010338,-0.007310,0.000003,0.124771,0.124774
3571895057.968501,-0.010332,-0.007307,0.000003,0.124771,0.124774
3571895057.978501,-0.010325,-0.007305,0.000003,0.124771,0.124774
3571895057.988502,-0.010319,-0.007302,0.000003,0.124771,0.124774
3571895057.998502,-0.010313,-0.007299,0.000003,0.124771,0.124774
3571895058.008503,-0.010307,-0.007296,0.000003,0.124771,0.124774
3571895058.018503,-0.010301,-0.007293,0.000003,0.124771,0.124774
3571895058.028503,-0.010295,-0.007290,0.000003,0.124771,0.124774
3571895058.038503,-0.010289,-0.007287,0.000003,0.124771,0.124774
3571895058.048503,-0.010283,-0.007285,0.000003,0.124771,0.124774
3571895058.058504,-0.010277,-0.007282,0.000003,0.124771,0.124774
3571895058.068504,-0.010271,-0.007279,0.000002,0.124771,0.124774
3571895058.078504,-0.010265,-0.007276,0.000002,0.124771,0.124774
3571895058.088505,-0.010259,-0.007273,0.000002,0.124771,0.124774
3571895058.098505,-0.010253,-0.007270,0.000002,0.124771,0.124774
3571895058.108506,-0.010247,-0.007267,0.000002,0.124771,0.124774
3571895058.118505,-0.010241,-0.007265,0.000002,0.124771,0.124774
3571895058.128505,-0.010235,-0.007262,0.000002,0.124771,0.124774
3571895058.138505,-0.010229,-0.007259,0.000002,0.124771,0.124774
3571895058.148507,-0.010223,-0.007256,0.000002,0.124771,0.124774
3571895058.158506,-0.010217,-0.007253,0.000002,0.124771,0.124774
3571895058.168507,-0.010211,-0.007250,0.000002,0.124771,0.124774
3571895058.178506,-0.010205,-0.007247,0.000002,0.124771,0.124774
3571895058.188508,-0.010199,-0.007245,0.000002,0.124771,0.124774
3571895058.198507,-0.010193,-0.007242,0.000002,0.124771,0.124774
3571895058.208508,-0.010187,-0.007239,0.000002,0.124772,0.124774
3571895058.218508,-0.010181,-0.007236,0.000002,0.124772,0.124774
3571895058.228508,-0.010175,-0.007233,0.000002,0.124772,0.124774
3571895058.238510,-0.010169,-0.007230,0.000002,0.124772,0.124774
3571895058.248508,-0.010163,-0.007228,0.000002,0.124772,0.124774
3571895058.258509,-0.010157,-0.007225,0.000002,0.124772,0.124774
3571895058.268509,-0.010151,-0.007222,0.000002,0.124772,0.124774
3571895058.278510,-0.010145,-0.007219,0.000002,0.124772,0.124774
3571895058.288510,-0.010139,-0.007216,0.000002,0.124772,0.124774
3571895058.298510,-0.010133,-0.007213,0.000002,0.124772,0.124774
3571895058.308511,-0.010127,-0.007211,0.000002,0.124772,0.124774
3571895058.318510,-0.010121,-0.007208,0.000002,0.124772,0.124774
3571895058.328510,-0.010116,-0.007205,0.000002,0.124772,0.124774
3571895058.338510,-0.010110,-0.007202,0.000002,0.124772,0.124774
3571895058.348511,-0.010104,-0.007199,0.000002,0.124772,0.124774
3571895058.358512,-0.010098,-0.007197,0.000002,0.124772,0.124774
3571895058.368512,-0.010092,-0.007194,0.000002,0.124772,0.124774
3571895058.378511,-0.010086,-0.007191,0.000002,0.124772,0.124774
3571895058.388513,-0.010080,-0.007188,0.000002,0.124772,0.124774
3571895058.398513,-0.010074,-0.007185,0.000002,0.124772,0.124774
3571895058.408514,-0.010068,-0.007182,0.000002,0.124772,0.124774
3571895058.418514,-0.010062,-0.007180,0.000002,0.124772,0.124774
3571895058.428514,-0.010057,-0.007177,0.000002,0.124772,0.124774
3571895058.438513,-0.010051,-0.007174,0.000002,0.124772,0.124774
3571895058.448514,-0.010045,-0.007171,0.000002,0.124772,0.124774
3571895058.458515,-0.010039,-0.007168,0.000002,0.124772,0.124774
3571895058.468515,-0.010033,-0.007166,0.000002,0.124772,0.124774
3571895058.478514,-0.010027,-0.007163,0.000002,0.124772,0.124774
3571895058.488515,-0.010021,-0.007160,0.000002,0.124772,0.124774
3571895058.498515,-0.010016,-0.007157,0.000002,0.124772,0.124774
3571895058.508516,-0.010010,-0.007154,0.000002,0.124772,0.124774
3571895058.518517,-0.010004,-0.007152,0.000002,0.124772,0.124774
3571895058.528516,-0.009998,-0.007149,0.000002,0.124772,0.124774
3571895058.538517,-0.009992,-0.007146,0.000002,0.124772,0.124774
3571895058.548517,-0.009986,-0.007143,0.000002,0.124772,0.124774
3571895058.558517,-0.009981,-0.007140,0.000002,0.124772,0.124774
3571895058.568517,-0.009975,-0.007138,0.000002,0.124772,0.124774
3571895058.578516,-0.009969,-0.007135,0.000002,0.124772,0.124774
3571895058.588518,-0.009963,-0.007132,0.000002,0.124772,0.124774
3571895058.598516,-0.009957,-0.007129,0.000002,0.124772,0.124774
3571895058.608520,-0.009951,-0.007126,0.000002,0.124772,0.124774
3571895058.618518,-0.009946,-0.007124,0.000002,0.124772,0.124774
3571895058.628519,-0.009940,-0.007121,0.000002,0.124772,0.124774
3571895058.638519,-0.009934,-0.007118,0.000002,0.124772,0.124774
3571895058.648520,-0.009928,-0.007115,0.000001,0.124773,0.124774
3571895058.658521,-0.009923,-0.007112,0.000001,0.124773,0.124774
3571895058.668519,-0.009917,-0.007110,0.000001,0.124773,0.124774
3571895058.678520,-0.009911,-0.007107,0.000001,0.124773,0.124774
3571895058.688520,-0.009905,-0.007104,0.000001,0.124773,0.124774
3571895058.698520,-0.009899,-0.007101,0.000001,0.124773,0.124774
3571895058.708522,-0.009894,-0.007098,0.000001,0.124773,0.124774
3571895058.718521,-0.009888,-0.007096,0.000001,0.124773,0.124774
3571895058.728521,-0.009882,-0.007093,0.000001,0.124773,0.124774
3571895058.738521,-0.009876,-0.007090,0.000001,0.124773,0.124774
3571895058.748522,-0.009871,-0.007087,0.000001,0.124773,0.124774
3571895058.758523,-0.009865,-0.007085,0.000001,0.124773,0.124774
3571895058.768523,-0.009859,-0.007082,0.000001,0.124773,0.124774
3571895058.778522,-0.009854,-0.007079,0.000001,0.124773,0.124774
3571895058.788524,-0.009848,-0.007076,0.000001,0.124773,0.124774
3571895058.798524,-0.009842,-0.007073,0.000001,0.124773,0.124774
3571895058.808524,-0.009836,-0.007071,0.000001,0.124773,0.124774
3571895058.818524,-0.009831,-0.007068,0.000001,0.124773,0.124774
3571895058.828524,-0.009825,-0.007065,0.000001,0.124773,0.124774
3571895058.838524,-0.009819,-0.007062,0.000001,0.124773,0.124774
3571895058.848524,-0.009814,-0.007060,0.000002,0.124772,0.124774
3571895058.858525,-0.009808,-0.007057,0.000002,0.124770,0.124773
3571895058.868526,-0.009802,-0.007054,0.000002,0.124768,0.124770
3571895058.878524,-0.009796,-0.007051,0.000003,0.124765,0.124768
3571895058.888525,-0.009791,-0.007049,0.000003,0.124761,0.124764
3571895058.898526,-0.009785,-0.007046,0.000004,0.124756,0.124760
3571895058.908526,-0.009779,-0.007043,0.000004,0.124750,0.124755
3571895058.918526,-0.009774,-0.007040,0.000005,0.124744,0.124749
3571895058.928526,-0.009768,-0.007038,0.000005,0.124737,0.124742
3571895058.938527,-0.010358,-0.007035,0.000005,0.124729,0.124735
3571895058.948527,-0.010948,-0.007032,0.000006,0.124720,0.124726
3571895058.958529,-0.011538,-0.007625,0.000006,0.124711,0.124717
3571895058.968528,-0.012127,-0.008218,0.000007,0.124701,0.124708
