Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895398.567539,-0.012819,-0.001680,-13.743709,-14.564013,-0.820304
3571895398.577540,-0.012704,-0.001679,-13.752057,-14.564013,-0.811956
3571895398.587540,-0.012591,-0.001678,-13.760323,-14.564013,-0.803690
3571895398.597539,-0.012478,-0.001678,-13.768508,-14.564013,-0.795505
3571895398.607540,-0.012367,-0.001677,-13.776613,-14.564013,-0.787400
3571895398.617541,-0.012256,-0.001676,-13.784639,-14.564013,-0.779374
3571895398.627541,-0.012147,-0.001676,-13.792586,-14.099147,-0.306561
3571895398.637542,-0.012039,-0.001675,-13.800455,-14.099147,-0.298692
3571895398.647542,-0.012243,-0.001675,-13.803672,-14.099147,-0.295475
3571895398.657541,-0.012444,-0.001674,-13.806811,-14.099147,-0.292335
3571895398.667543,-0.012642,-0.001673,-13.809920,-14.099147,-0.289227
3571895398.677542,-0.012839,-0.001673,-13.812999,-14.099147,-0.286148
3571895398.687542,-0.013033,-0.001672,-13.816049,-14.099147,-0.283098
3571895398.697537,-0.013225,-0.001671,-13.819069,-14.099147,-0.280078
3571895398.707543,-0.013415,-0.001671,-13.822061,-14.099147,-0.277086
3571895398.717544,-0.013603,-0.001670,-13.825024,-14.099147,-0.274123
3571895398.727544,-0.013789,-0.001669,-13.827959,-14.033545,-0.205586
3571895398.737544,-0.013972,-0.001669,-13.830867,-14.033545,-0.202678
3571895398.747545,-0.013815,-0.001668,-13.832927,-14.033545,-0.200618
3571895398.757545,-0.013658,-0.001668,-13.834958,-14.033545,-0.198587
3571895398.767546,-0.013502,-0.001667,-13.836968,-14.033545,-0.196577
3571895398.777545,-0.013348,-0.001666,-13.838960,-14.033545,-0.194585
3571895398.787544,-0.013195,-0.001666,-13.840931,-14.033545,-0.192614
3571895398.797544,-0.013043,-0.001665,-13.842884,-14.033545,-0.190661
3571895398.807547,-0.012894,-0.001664,-13.844817,-14.033545,-0.188728
3571895398.817546,-0.012745,-0.001664,-13.846732,-14.033545,-0.186813
3571895398.827546,-0.012598,-0.001663,-13.848627,-13.357409,0.491219
3571895398.837545,-0.012452,-0.001662,-13.850504,-13.357409,0.493095
3571895398.847547,-0.012454,-0.001662,-13.845682,-13.357409,0.488273
3571895398.857548,-0.012456,-0.001661,-13.840840,-13.357409,0.483431
3571895398.867548,-0.012459,-0.001661,-13.836044,-13.357409,0.478635
3571895398.877548,-0.012461,-0.001660,-13.831294,-13.357409,0.473885
3571895398.887547,-0.012463,-0.001659,-13.826589,-13.357409,0.469180
3571895398.897548,-0.012465,-0.001659,-13.821929,-13.357409,0.464520
3571895398.907548,-0.012466,-0.001658,-13.817314,-13.357409,0.459905
3571895398.917549,-0.012468,-0.001657,-13.812742,-13.357409,0.455334
3571895398.927550,-0.012469,-0.001657,-13.808215,-13.511313,0.296902
3571895398.937551,-0.012471,-0.001656,-13.803731,-13.511313,0.292418
3571895398.947550,-0.012173,-0.001655,-13.800831,-13.511313,0.289517
3571895398.957549,-0.011875,-0.001655,-13.797973,-13.511313,0.286660
3571895398.967550,-0.011581,-0.001654,-13.795143,-13.511313,0.283829
3571895398.977551,-0.011289,-0.001654,-13.792339,-13.511313,0.281026
3571895398.987550,-0.011000,-0.001653,-13.789562,-13.511313,0.278249
3571895398.997546,-0.010714,-0.001652,-13.786812,-13.511313,0.275499
3571895399.007551,-0.010431,-0.001652,-13.784087,-13.511313,0.272774
3571895399.017551,-0.010151,-0.001651,-13.781389,-13.511313,0.270076
3571895399.027551,-0.009874,-0.001650,-13.778716,-13.882648,-0.103932
3571895399.037553,-0.009599,-0.001650,-13.776068,-13.882648,-0.106579
3571895399.047554,-0.009677,-0.001649,-13.777166,-13.882648,-0.105482
3571895399.057552,-0.009758,-0.001649,-13.778288,-13.882648,-0.104360
3571895399.067553,-0.009838,-0.001648,-13.779399,-13.882648,-0.103249
3571895399.077553,-0.009917,-0.001647,-13.780499,-13.882648,-0.102149
3571895399.087552,-0.009995,-0.001647,-13.781587,-13.882648,-0.101060
3571895399.097548,-0.010072,-0.001646,-13.782665,-13.882648,-0.099983
3571895399.107555,-0.010149,-0.001645,-13.783732,-13.882648,-0.098916
3571895399.117555,-0.010224,-0.001645,-13.784788,-13.882648,-0.097860
3571895399.127554,-0.010299,-0.001644,-13.785833,-13.551733,0.234101
3571895399.137554,-0.010372,-0.001643,-13.786868,-13.551733,0.235136
3571895399.147554,-0.010423,-0.001643,-13.784627,-13.551733,0.232895
3571895399.157555,-0.010473,-0.001642,-13.782377,-13.551733,0.230644
3571895399.167556,-0.010522,-0.001642,-13.780147,-13.551733,0.228415
3571895399.177556,-0.010571,-0.001641,-13.777940,-13.551733,0.226207
3571895399.187555,-0.010619,-0.001640,-13.775754,-13.551733,0.224021
3571895399.197557,-0.010666,-0.001640,-13.773590,-13.551733,0.221857
3571895399.207557,-0.010713,-0.001639,-13.771446,-13.551733,0.219714
3571895399.217557,-0.010759,-0.001638,-13.769324,-13.551733,0.217591
3571895399.227556,-0.010804,-0.001638,-13.767223,-13.470788,0.296435
3571895399.237557,-0.010849,-0.001637,-13.765142,-13.470788,0.294354
3571895399.247558,-0.010786,-0.001637,-13.762260,-13.470788,0.291472
3571895399.257558,-0.010721,-0.001636,-13.759398,-13.470788,0.288610
3571895399.267559,-0.010657,-0.001635,-13.756564,-13.470788,0.285776
3571895399.277558,-0.010594,-0.001635,-13.753758,-13.470788,0.282970
3571895399.287558,-0.010531,-0.001634,-13.750980,-13.470788,0.280192
3571895399.297559,-0.010468,-0.001633,-13.748229,-13.470788,0.277441
3571895399.307559,-0.010407,-0.001633,-13.745505,-13.470788,0.274716
3571895399.317559,-0.010345,-0.001632,-13.742807,-13.470788,0.272019
3571895399.327559,-0.010285,-0.001632,-13.740137,-13.667434,0.072703
3571895399.337561,-0.010225,-0.001631,-13.737492,-13.667434,0.070059
3571895399.347561,-0.010072,-0.001630,-13.736796,-13.667434,0.069362
3571895399.357562,-0.009919,-0.001630,-13.736126,-13.667434,0.068692
3571895399.367560,-0.009768,-0.001629,-13.735462,-13.667434,0.068028
3571895399.377561,-0.009618,-0.001628,-13.734806,-13.667434,0.067372
3571895399.387560,-0.009469,-0.001628,-13.734157,-13.667434,0.066723
3571895399.397557,-0.009323,-0.001627,-13.733514,-13.667434,0.066080
3571895399.407562,-0.009177,-0.001627,-13.732878,-13.667434,0.065444
3571895399.417563,-0.009033,-0.001626,-13.732248,-13.667434,0.064814
3571895399.427563,-0.008890,-0.001625,-13.731625,-13.818854,-0.087229
3571895399.437562,-0.008749,-0.001625,-13.731008,-13.818854,-0.087846
3571895399.447563,-0.008582,-0.001624,-13.731866,-13.818854,-0.086988
3571895399.457564,-0.008417,-0.001623,-13.732730,-13.818854,-0.086124
3571895399.467564,-0.008253,-0.001623,-13.733587,-13.818854,-0.085267
3571895399.477564,-0.008090,-0.001622,-13.734435,-13.818854,-0.084419
3571895399.487564,-0.007929,-0.001622,-13.735275,-13.818854,-0.083578
3571895399.497564,-0.007770,-0.001621,-13.736108,-13.818854,-0.082746
3571895399.507564,-0.007613,-0.001620,-13.736932,-13.818854,-0.081922
3571895399.517566,-0.007457,-0.001620,-13.737748,-13.818854,-0.081106
3571895399.527565,-0.007302,-0.001619,-13.738556,-14.025412,-0.286855
3571895399.537565,-0.007149,-0.001619,-13.739357,-14.025412,-0.286055
3571895399.547565,-0.007256,-0.001618,-13.742252,-14.025412,-0.283160
3571895399.557566,-0.007365,-0.001617,-13.745138,-14.025412,-0.280273
3571895399.567567,-0.007473,-0.001617,-13.747997,-14.025412,-0.277415
3571895399.577566,-0.007580,-0.001616,-13.750827,-14.025412,-0.274585
3571895399.587565,-0.007685,-0.001615,-13.753629,-14.025412,-0.271782
3571895399.597562,-0.007789,-0.001615,-13.756404,-14.025412,-0.269007
3571895399.607566,-0.007892,-0.001614,-13.759152,-14.025412,-0.266259
3571895399.617568,-0.007994,-0.001614,-13.761873,-14.025412,-0.263539
3571895399.627568,-0.008094,-0.001613,-13.764567,-13.277667,0.486900
3571895399.637568,-0.008194,-0.001612,-13.767235,-13.277667,0.489568
3571895399.647569,-0.008320,-0.001612,-13.762434,-13.277667,0.484767
3571895399.657568,-0.008444,-0.001611,-13.757607,-13.277667,0.479940
3571895399.667569,-0.008567,-0.001610,-13.752827,-13.277667,0.475160
3571895399.677569,-0.008689,-0.001610,-13.748093,-13.277667,0.470426
3571895399.687569,-0.008809,-0.001609,-13.743405,-13.277667,0.465738
3571895399.697564,-0.008928,-0.001609,-13.738763,-13.277667,0.461096
3571895399.707570,-0.009045,-0.001608,-13.734166,-13.277667,0.456499
3571895399.717571,-0.009162,-0.001607,-13.729614,-13.277667,0.451947
3571895399.727571,-0.009276,-0.001607,-13.725106,-13.801733,-0.076627
3571895399.737571,-0.009390,-0.001606,-13.720642,-13.801733,-0.081091
3571895399.747571,-0.009221,-0.001606,-13.721461,-13.801733,-0.080272
3571895399.757572,-0.009051,-0.001605,-13.722323,-13.801733,-0.079409
3571895399.767571,-0.008883,-0.001604,-13.723178,-13.801733,-0.078555
3571895399.777572,-0.008716,-0.001604,-13.724024,-13.801733,-0.077709
3571895399.787571,-0.008551,-0.001603,-13.724863,-13.801733,-0.076870
3571895399.797572,-0.008388,-0.001602,-13.725693,-13.801733,-0.076040
3571895399.807572,-0.008226,-0.001602,-13.726516,-13.801733,-0.075217
3571895399.817574,-0.008066,-0.001601,-13.727331,-13.801733,-0.074402
3571895399.827573,-0.007908,-0.001601,-13.728138,-13.751635,-0.023497
3571895399.837574,-0.007751,-0.001600,-13.728938,-13.751635,-0.022697
3571895399.847573,-0.007675,-0.001599,-13.729164,-13.751635,-0.022471
3571895399.857574,-0.007602,-0.001599,-13.729384,-13.751635,-0.022251
3571895399.867574,-0.007529,-0.001598,-13.729602,-13.751635,-0.022033
3571895399.877574,-0.007457,-0.001598,-13.729818,-13.751635,-0.021817
3571895399.887574,-0.007386,-0.001597,-13.730031,-13.751635,-0.021603
3571895399.897569,-0.007315,-0.001596,-13.730243,-13.751635,-0.021392
3571895399.907575,-0.007245,-0.001596,-13.730453,-13.751635,-0.021182
3571895399.917575,-0.007175,-0.001595,-13.730661,-13.751635,-0.020974
3571895399.927576,-0.007107,-0.001595,-13.730867,-13.339196,0.391671
3571895399.937576,-0.007038,-0.001594,-13.731070,-13.339196,0.391874
3571895399.947577,-0.006879,-0.001593,-13.727145,-13.339196,0.387949
3571895399.957577,-0.006721,-0.001593,-13.723218,-13.339196,0.384022
3571895399.967576,-0.006564,-0.001592,-13.719329,-13.339196,0.380133
3571895399.977577,-0.006409,-0.001591,-13.715477,-13.339196,0.376281
3571895399.987577,-0.006255,-0.001591,-13.711662,-13.339196,0.372466
3571895399.997572,-0.006103,-0.001590,-13.707884,-13.339196,0.368688
3571895400.007578,-0.005952,-0.001590,-13.704142,-13.339196,0.364946
3571895400.017580,-0.005803,-0.001589,-13.700436,-13.339196,0.361240
3571895400.027578,-0.005656,-0.001588,-13.696765,-13.668574,0.028192
3571895400.037579,-0.005510,-0.001588,-13.693130,-13.668574,0.024556
3571895400.047579,-0.005801,-0.001587,-13.692816,-13.668574,0.024242
3571895400.057580,-0.006093,-0.001587,-13.692536,-13.668574,0.023962
3571895400.067580,-0.006382,-0.001586,-13.692258,-13.668574,0.023684
3571895400.077580,-0.006668,-0.001585,-13.691981,-13.668574,0.023408
3571895400.087579,-0.006951,-0.001585,-13.691706,-13.668574,0.023132
